,HR surface density (g/cm2),HR surf dens radius (pc),LR surface density (g/cm2),LR surface density radius (pc),Reproj surface density (g/cm2),Reproj surf dens radius (pc),CSM surface density (g/cm2),CSM Surf Dens Radius (pc)
104,-3.7292069634191447e-06,0.00017185659224785028,0.0001252989330145126,0.0004296414806196256,,0.0004296414806196256,,0.0004296414806196256
105,-4.215624471756258e-06,0.00017348556468621852,0.00012394171200123688,0.0004337139117155463,,0.0004337139117155463,,0.0004337139117155463
106,-4.5696414489235715e-06,0.00017511453712458676,0.000122254619579401,0.0004377863428114669,,0.0004377863428114669,,0.0004377863428114669
107,-4.80349293764582e-06,0.00017674350956295502,0.00012046263459467592,0.00044185877390738755,,0.00044185877390738755,,0.00044185877390738755
108,-4.917525003072006e-06,0.00017837248200132326,0.00011839780364875336,0.0004459312050033082,,0.0004459312050033082,,0.0004459312050033082
109,-4.892422269670539e-06,0.00018000145443969153,0.00011634419007636853,0.00045000363609922877,,0.00045000363609922877,,0.00045000363609922877
110,-4.697826610959227e-06,0.00018163042687805976,0.00011452163727730269,0.00045407606719514944,,0.00045407606719514944,,0.00045407606719514944
111,-4.309133602790656e-06,0.000183259399316428,0.00011264288481299655,0.00045814849829107005,,0.00045814849829107005,,0.00045814849829107005
112,-3.7287529255574235e-06,0.00018488837175479627,0.00011089974420955364,0.0004622209293869907,,0.0004622209293869907,,0.0004622209293869907
113,-2.9920333830557864e-06,0.0001865173441931645,0.00010928697666146883,0.0004662933604829112,,0.0004662933604829112,,0.0004662933604829112
114,-2.1726221408131546e-06,0.00018814631663153277,0.00010751168117637352,0.0004703657915788319,,0.0004703657915788319,,0.0004703657915788319
115,-1.3632720364535543e-06,0.000189775289069901,0.00010539986031880605,0.00047443822267475254,,0.00047443822267475254,,0.00047443822267475254
116,-6.561532942624058e-07,0.00019140426150826925,0.00010314098929709922,0.0004785106537706731,,0.0004785106537706731,,0.0004785106537706731
117,-1.21011655975452e-07,0.00019303323394663751,0.00010070904726690647,0.00048258308486659376,,0.00048258308486659376,,0.00048258308486659376
118,2.072745207689719e-07,0.00019466220638500575,9.810498611890574e-05,0.00048665551596251437,,0.00048665551596251437,,0.00048665551596251437
119,3.324226135026144e-07,0.00019629117882337402,9.554667806640047e-05,0.000490727947058435,,0.000490727947058435,,0.000490727947058435
120,2.840726921532767e-07,0.00019792015126174226,9.290279835235002e-05,0.0004948003781543556,,0.0004948003781543556,,0.0004948003781543556
121,1.01534673852247e-07,0.0001995491237001105,9.01521460055282e-05,0.0004988728092502763,,0.0004988728092502763,,0.0004988728092502763
122,-1.8188203692118368e-07,0.00020117809613847876,8.743266529125893e-05,0.0005029452403461968,,0.0005029452403461968,,0.0005029452403461968
123,-5.462860026842441e-07,0.000202807068576847,8.50699154841218e-05,0.0005070176714421175,,0.0005070176714421175,,0.0005070176714421175
124,-9.840010748994163e-07,0.00020443604101521526,8.285114176647044e-05,0.0005110901025380381,,0.0005110901025380381,,0.0005110901025380381
125,-1.4882880403464266e-06,0.0002060650134535835,8.061294946210526e-05,0.0005151625336339587,,0.0005151625336339587,,0.0005151625336339587
126,-2.0390590803745786e-06,0.0002076939858919518,7.861299525636963e-05,0.0005192349647298795,,0.0005192349647298795,,0.0005192349647298795
127,-2.5989467187834907e-06,0.00020932295833032,7.693458681692966e-05,0.0005233073958258,,0.0005233073958258,,0.0005233073958258
128,-3.118066836137744e-06,0.00021095193076868824,7.521597939144352e-05,0.0005273798269217206,,0.0005273798269217206,,0.0005273798269217206
129,-3.549891363937328e-06,0.0002125809032070565,7.321691286170466e-05,0.0005314522580176412,,0.0005314522580176412,,0.0005314522580176412
130,-3.874135938080936e-06,0.00021420987564542475,7.133189946768455e-05,0.0005355246891135618,,0.0005355246891135618,,0.0005355246891135618
131,-4.1067758349128106e-06,0.000215838848083793,6.968209313537108e-05,0.0005395971202094825,,0.0005395971202094825,,0.0005395971202094825
132,-4.298252197805091e-06,0.00021746782052216125,6.830003151968123e-05,0.0005436695513054031,,0.0005436695513054031,,0.0005436695513054031
133,-4.511910427060419e-06,0.00021909679296052955,6.720642525610216e-05,0.0005477419824013237,,0.0005477419824013237,,0.0005477419824013237
134,-4.7925113903000295e-06,0.00022072576539889776,6.635215192408984e-05,0.0005518144134972443,,0.0005518144134972443,,0.0005518144134972443
135,-5.14306605860155e-06,0.000222354737837266,6.551144473523658e-05,0.000555886844593165,,0.000555886844593165,,0.000555886844593165
136,-5.514063473503344e-06,0.00022398371027563423,6.458601339165943e-05,0.0005599592756890856,,0.0005599592756890856,,0.0005599592756890856
137,-5.820814420814463e-06,0.0002256126827140025,6.373009578117452e-05,0.0005640317067850063,,0.0005640317067850063,,0.0005640317067850063
138,-5.972696566314001e-06,0.00022724165515237074,6.30012415394524e-05,0.0005681041378809268,,0.0005681041378809268,,0.0005681041378809268
