,HR density (g/cm3),HR density radius (pc),LR density (g/cm3),LR density radius (pc)
91,1.0044557634477024e-20,0.00015149443676824715,5.4726972880614375e-21,0.00037873609192061794
92,9.022834799694933e-21,0.00015312340920661541,9.107249685683989e-21,0.00038280852301653855
93,7.920723316939272e-21,0.00015475238164498365,1.1731757353185242e-20,0.00038688095411245905
94,6.872118936938704e-21,0.0001563813540833519,1.3719542331596825e-20,0.0003909533852083797
95,5.856299315149979e-21,0.00015801032652172013,1.5884736534486828e-20,0.0003950258163043003
96,4.666719914866863e-21,0.0001596392989600884,1.825627433161928e-20,0.000399098247400221
97,2.9031265705866166e-21,0.00016126827139845663,2.0620706108863604e-20,0.0004031706784961416
98,5.84272591496759e-22,0.0001628972438368249,2.3264099779842812e-20,0.00040724310959206226
99,-1.0258905502328475e-21,0.00016452621627519314,2.6332245159227314e-20,0.00041131554068798287
100,-1.4118975001987868e-21,0.0001661551887135614,2.912892117008383e-20,0.00041538797178390343
101,-1.4244797558906059e-21,0.00016778416115192967,3.120270977718953e-20,0.00041946040287982404
102,-1.4377285373162204e-21,0.00016941313359029788,3.303270721434827e-20,0.00042353283397574465
103,-1.4517330029374996e-21,0.00017104210602866612,3.455785707744854e-20,0.00042760526507166526
104,-1.4666062577375313e-21,0.00017267107846703438,3.5182921038225156e-20,0.0004316776961675858
105,-1.482494983784784e-21,0.00017430005090540262,3.509651941274411e-20,0.00043575012726350653
106,-1.4995942289446903e-21,0.00017592902334377086,3.4722572625354125e-20,0.0004398225583594272
107,-1.5181708886912729e-21,0.0001775579957821391,3.4046155785019126e-20,0.0004438949894553478
108,-1.5386024747010218e-21,0.00017918696822050737,3.321262610718e-20,0.00044796742055126847
109,-1.5614441574366094e-21,0.0001808159406588756,3.25435480984825e-20,0.000452039851647189
110,-1.587551405005598e-21,0.00018244491309724387,3.19959429115343e-20,0.00045611228274310974
111,-1.6183205971636824e-21,0.0001840738855356121,3.1597794966044943e-20,0.0004601847138390303
112,-1.6562058027128096e-21,0.00018570285797398037,3.148274646915022e-20,0.0004642571449349509
113,-1.7059738767792812e-21,0.00018733183041234864,3.140043993600399e-20,0.0004683295760308715
114,-1.7783562609502292e-21,0.00018896080285071685,3.103547374301345e-20,0.0004724020071267921
115,-1.904470949620654e-21,0.0001905897752890851,3.039145142189435e-20,0.0004764744382227128
116,-1.9536612919232725e-21,0.00019221874772745335,2.951845746083991e-20,0.0004805468693186334
117,-1.5334114590973778e-21,0.0001938477201658216,2.84040628158316e-20,0.00048461930041455406
118,-8.995017179446695e-22,0.00019547669260418986,2.7179622726316006e-20,0.0004886917315104747
119,-7.366201752584653e-22,0.00019710566504255812,2.5833995257309626e-20,0.0004927641626063953
120,-1.1170870863536655e-21,0.00019873463748092636,2.4229162893834177e-20,0.0004968365937023159
121,-1.5698016850371657e-21,0.00020036360991929463,2.2483130423853378e-20,0.0005009090247982364
122,-1.7390122011288765e-21,0.00020199258235766287,2.0917723389206688e-20,0.0005049814558941571
123,-1.7647261602201054e-21,0.00020362155479603113,1.9543747963226163e-20,0.0005090538869900778
124,-1.7918486483777575e-21,0.0002052505272343994,1.813937365020839e-20,0.0005131263180859983
125,-1.8205061647607785e-21,0.00020687949967276764,1.685058027146916e-20,0.000517198749181919
126,-1.8508417370127462e-21,0.0002085084721111359,1.5894652747376807e-20,0.0005212711802778397
127,-1.883017815617436e-21,0.0002101374445495041,1.499982043905395e-20,0.0005253436113737602
128,-1.9172198187530475e-21,0.00021176641698787235,1.3768048838344043e-20,0.0005294160424696809
129,-1.9536605102055162e-21,0.00021339538942624062,1.2322551589429664e-20,0.0005334884735656015
130,-1.9925854557119063e-21,0.00021502436186460883,1.0978379471422252e-20,0.0005375609046615221
131,-2.0342798920643877e-21,0.0002166533343029771,9.85908900122709e-21,0.0005416333357574427
132,-2.079077471460617e-21,0.00021828230674134533,9.04555022904446e-21,0.0005457057668533634
133,-2.127371531730591e-21,0.0002199112791797136,8.530925554854083e-21,0.0005497781979492839
134,-2.1796298251850484e-21,0.00022154025161808184,8.115919678465036e-21,0.0005538506290452045
135,-2.236414072041399e-21,0.0002231692240564501,7.603343356362403e-21,0.0005579230601411251
136,-2.2984063878180912e-21,0.00022479819649481837,7.045534369069403e-21,0.0005619954912370459
137,-2.366445746083655e-21,0.0002264271689331866,6.584976620823916e-21,0.0005660679223329665
